date,week,weekday,day,work_hours
2023-03-23,12,4,workday,8
2023-03-24,12,5,workday,8
2023-03-25,12,6,day_off,0
2023-03-26,13,7,day_off,0
2023-03-27,13,1,workday,8
2023-03-28,13,2,workday,8
2023-03-29,13,3,workday,8
2023-03-30,13,4,workday,8
2023-03-31,13,5,workday,8
2023-04-01,13,6,day_off,0
2023-04-02,14,7,day_off,0
2023-04-03,14,1,workday,8
2023-04-04,14,2,workday,8
2023-04-05,14,3,workday,8
2023-04-06,14,4,workday,8
2023-04-07,14,5,workday,8
2023-04-08,14,6,day_off,0
2023-04-09,15,7,day_off,0
2023-04-10,15,1,workday,8
2023-04-11,15,2,workday,8
2023-04-12,15,3,workday,8
2023-04-13,15,4,workday,8
2023-04-14,15,5,workday,8
2023-04-15,15,6,day_off,0
2023-04-16,16,7,day_off,0
2023-04-17,16,1,workday,8
2023-04-18,16,2,workday,8
2023-04-19,16,3,workday,8
2023-04-20,16,4,workday,8
2023-04-21,16,5,workday,8
2023-04-22,16,6,day_off,0
2023-04-23,17,7,day_off,0
2023-04-24,17,1,workday,8
2023-04-25,17,2,workday,8
2023-04-26,17,3,workday,8
2023-04-27,17,4,workday,8
2023-04-28,17,5,workday,8
2023-04-29,17,6,day_off,0
2023-04-30,18,7,day_off,0
2023-05-01,18,1,workday,8
2023-05-02,18,2,workday,8
2023-05-03,18,3,workday,8
2023-05-04,18,4,workday,8
2023-05-05,18,5,workday,8
2023-05-06,18,6,day_off,0
2023-05-07,19,7,day_off,0
2023-05-08,19,1,workday,8
2023-05-09,19,2,workday,8
2023-05-10,19,3,workday,8
2023-05-11,19,4,workday,8
2023-05-12,19,5,workday,8
2023-05-13,19,6,day_off,0
2023-05-14,20,7,day_off,0
2023-05-15,20,1,workday,8
2023-05-16,20,2,workday,8
2023-05-17,20,3,workday,8
2023-05-18,20,4,workday,8
2023-05-19,20,5,workday,8
2023-05-20,20,6,day_off,0
2023-05-21,21,7,day_off,0
2023-05-22,21,1,workday,8
2023-05-23,21,2,workday,8
2023-05-24,21,3,workday,8
2023-05-25,21,4,workday,8
2023-05-26,21,5,workday,8
2023-05-27,21,6,day_off,0
2023-05-28,22,7,day_off,0
2023-05-29,22,1,workday,8
2023-05-30,22,2,workday,8
2023-05-31,22,3,workday,8
2023-06-01,22,4,workday,8
2023-06-02,22,5,workday,8
2023-06-03,22,6,day_off,0
2023-06-04,23,7,day_off,0
2023-06-05,23,1,workday,8
2023-06-06,23,2,workday,8
2023-06-07,23,3,workday,8
2023-06-08,23,4,workday,8
2023-06-09,23,5,workday,8
2023-06-10,23,6,day_off,0
2023-06-11,24,7,day_off,0
2023-06-12,24,1,workday,8
2023-06-13,24,2,workday,8
2023-06-14,24,3,workday,8
2023-06-15,24,4,workday,8
2023-06-16,24,5,workday,8
2023-06-17,24,6,day_off,0
2023-06-18,25,7,day_off,0
2023-06-19,25,1,workday,8
2023-06-20,25,2,workday,8
2023-06-21,25,3,workday,8
2023-06-22,25,4,workday,8
2023-06-23,25,5,workday,8
2023-06-24,25,6,day_off,0
2023-06-25,26,7,day_off,0
2023-06-26,26,1,workday,8
2023-06-27,26,2,workday,8
2023-06-28,26,3,workday,8
2023-06-29,26,4,workday,8
2023-06-30,26,5,workday,8
2023-07-01,26,6,day_off,0
2023-07-02,27,7,day_off,0
2023-07-03,27,1,workday,8
2023-07-04,27,2,workday,8
2023-07-05,27,3,workday,8
2023-07-06,27,4,workday,8
2023-07-07,27,5,workday,8
2023-07-08,27,6,day_off,0
2023-07-09,28,7,day_off,0
2023-07-10,28,1,workday,8
2023-07-11,28,2,workday,8
2023-07-12,28,3,workday,8
2023-07-13,28,4,workday,8
2023-07-14,28,5,workday,8
2023-07-15,28,6,day_off,0
2023-07-16,29,7,day_off,0
2023-07-17,29,1,workday,8
2023-07-18,29,2,workday,8
2023-07-19,29,3,workday,8
2023-07-20,29,4,workday,8
2023-07-21,29,5,workday,8
2023-07-22,29,6,day_off,0
2023-07-23,30,7,day_off,0
